nbn_guid,scientific_name,family
NHMSYS0000530119,Accipiter gentilis,Accipitridae
NHMSYS0000530141,Alcedo atthis,Alcedinidae
NHMSYS0000530170,Aquila chrysaetos,Accipitridae
NHMSYS0000530180,Asio flammeus,Strigidae
NHMSYS0000530743,Falco columbarius,Falconidae
NHMSYS0000530354,Falco peregrinus,Falconidae
NHMSYS0000530482,Milvus milvus,Accipitridae
NBNSYS0000000292,Pandion haliaetus,Accipitridae
NHMSYS0000530685,Tyto alba,Tytonidae
NBNSYS0000000154,Recurvirostra avosetta,Recurvirostridae
NHMSYS0000530476,Merops apiaster,Meropidae
NHMSYS0000530210,Botaurus stellaris,Ardeidae
NHMSYS0000530414,Ixobrychus minutus,Ardeidae
NHMSYS0000530465,Luscinia svecica,Muscicapidae
NHMSYS0000530368,Fringilla montifringilla,Fringillidae
NHMSYS0000530726,Emberiza cirlus,Emberizidae
NHMSYS0000530233,Calcarius lapponicus,Calcariidae
NHMSYS0000530776,Plectrophenax nivalis,Calcariidae
NHMSYS0000530550,Pernis apivorus,Accipitridae
NHMSYS0000530659,Tetrao urogallus,Phasianidae
NHMSYS0000530800,Pyrrhocorax pyrrhocorax,Corvidae
NHMSYS0000530322,Crex crex,Rallidae
NHMSYS0000530787,Porzana porzana,Rallidae
NHMSYS0000530454,Loxia curvirostra,Fringillidae
NHMSYS0000530457,Loxia scotica,Fringillidae
NHMSYS0000530456,Loxia pytyopsittacus,Fringillidae
NBNSYS0000000218,Gavia stellata,Gaviidae
NBNSYS0000000219,Gavia arctica,Gaviidae
NBNSYS0000000220,Gavia immer,Gaviidae
NBNSYS0000000176,Charadrius morinellus,Charadriidae
NBNSYS0000000194,Clangula hyemalis,Anatidae
NBNSYS0000000281,Haliaeetus albicilla,Accipitridae
NHMSYS0000530355,Falco rusticolus,Falconidae
NHMSYS0000530679,Turdus pilaris,Turdidae
NHMSYS0000530578,Regulus ignicapilla,Regulidae
NHMSYS0021276106,Spatula querquedula,Anatidae
NBNSYS0000000145,Limosa limosa,Scolopacidae
NBNSYS0000000225,Podiceps nigricollis,Podicipedidae
NBNSYS0000000224,Podiceps auritus,Podicipedidae
NBNSYS0000000150,Tringa nebularia,Scolopacidae
NHMSYS0021053536,Hydrocoloeus minutus,Laridae
NHMSYS0021274101,Ichthyaetus melanocephalus,Laridae
NHMSYS0000530294,Circus cyaneus,Accipitridae
NHMSYS0000530293,Circus aeruginosus,Accipitridae
NHMSYS0000530296,Circus pygargus,Accipitridae
NHMSYS0000530173,Ardea purpurea,Ardeidae
NHMSYS0000530357,Falco subbuteo,Falconidae
NHMSYS0000530687,Upupa epops,Upupidae
NHMSYS0000530518,Oriolus oriolus,Oriolidae
NHMSYS0021003743,Bubo scandiacus,Strigidae
NHMSYS0000530508,Oceanodroma leucorhoa,Hydrobatidae
NBNSYS0000000172,Phalaropus lobatus,Scolopacidae
NBNSYS0000000159,Charadrius alexandrinus,Charadriidae
NBNSYS0000000162,Charadrius dubius,Charadriidae
