"common_name","international_common_name","scientific_name","level","xeno_id","sound_url","sound_sonogram_url","sound_license_url","sound_license_code","sound_recordist","image_info_url","image_url","image_author_raw","image_author","image_license_code","image_license_url","image_css_x","image_css_y"
"Swift","Common Swift","Apus apus","1","27236","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/Tornseglaresommarflock.mp3","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/XC27236-med.png","https://creativecommons.org/licenses/by-nc-sa/3.0/","BY-NC-SA 3.0","Patrik Åberg","https://commons.wikimedia.org/wiki/File:Apus_apus_-Barcelona,_Spain-8_(1).jpg","https://upload.wikimedia.org/wikipedia/commons/b/be/Apus_apus_-Barcelona%2C_Spain-8_%281%29.jpg","<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/7686882@N08"">pau.artigas</a>","pau.artigas","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","90","50"
"Great Spotted Woodpecker",,"Dendrocopos major","1","28028","https://www.xeno-canto.org/sounds/uploaded/AZXHPBEVSA/GreatSpottedWoodpecker270308.mp3","https://www.xeno-canto.org/sounds/uploaded/AZXHPBEVSA/ffts/XC28028-med.png","https://creativecommons.org/licenses/by-nc-nd/2.5/","BY-NC-ND 2.5","Mathias Ritschard","https://commons.wikimedia.org/wiki/File:Greater_Spotted_Woodpecker_(41554059345).jpg","https://upload.wikimedia.org/wikipedia/commons/c/c5/Greater_Spotted_Woodpecker_%2841554059345%29.jpg","Gerry Zambonini","Gerry Zambonini","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","50","55"
"Green Woodpecker","European Green Woodpecker","Picus viridis","1","55183","https://www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/PICVIR_100401_Bergons.mp3","https://www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC55183-med.png","https://creativecommons.org/licenses/by-nc-nd/2.5/","BY-NC-ND 2.5","GROSSELET Olivier","https://commons.wikimedia.org/wiki/File:European_green_woodpecker_(Picus_viridis)_female_Barnes.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c5/European_green_woodpecker_%28Picus_viridis%29_female_Barnes.jpg","<bdi><a href=""https://www.wikidata.org/wiki/Q54800218"" class=""extiw"" title=""d:Q54800218""><span title=""Scottish wildlife photographer"">Charles James Sharp</span></a>
</bdi>","Charles James Sharp
","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","50","20"
"Jay","Eurasian Jay","Garrulus glandarius","1","25647","https://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/Garrulus glandarius calls 1982 05 25 1B 46-61 Gurre Soe.mp3","https://www.xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC25647-med.png","https://creativecommons.org/licenses/by-nc-sa/3.0/","BY-NC-SA 3.0","Niels Krabbe","https://commons.wikimedia.org/wiki/File:Eurasian_jay_YerevanBotanic2020.jpg","https://upload.wikimedia.org/wikipedia/commons/f/ff/Eurasian_jay_YerevanBotanic2020.jpg","<a href=""//commons.wikimedia.org/wiki/User:Yerevantsi"" title=""User:Yerevantsi"">Yerevantsi</a>","Yerevantsi","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","55","50"
"Coal Tit",,"Periparus ater","1","24884","https://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/Coaltitsong.mp3","https://www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/XC24884-med.png","https://creativecommons.org/licenses/by-nc-nd/2.5/","BY-NC-ND 2.5","Stuart Fisher","https://commons.m.wikimedia.org/wiki/File:Periparus_ater_(41076978671).jpg","https://upload.wikimedia.org/wikipedia/commons/b/bd/Periparus_ater_%2841076978671%29.jpg","<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/59161444@N05"">xulescu_g</a>","xulescu_g","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","20","50"
"Marsh Tit",,"Poecile palustris","1","27291","https://www.xeno-canto.org/sounds/uploaded/PKWMZIRVUO/14400.090102.1glanskoproepVuursche.mp3","https://www.xeno-canto.org/sounds/uploaded/PKWMZIRVUO/ffts/XC27291-med.png","https://creativecommons.org/licenses/by-nc-nd/2.5/","BY-NC-ND 2.5","Ruud van Beusekom","https://commons.wikimedia.org/wiki/File:Sumpfmeise1.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fd/Sumpfmeise1.jpg","Steffen Hannert","Steffen Hannert","Copyrighted free use","https://commons.wikimedia.org/wiki/Category:Copyrighted_free_use ","70","50"
"Blue Tit","Eurasian Blue Tit","Cyanistes caeruleus","1","28208","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/BlamessangKalledalen2006-05-07.mp3","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/XC28208-med.png","https://creativecommons.org/licenses/by-nc-sa/3.0/","BY-NC-SA 3.0","Patrik Åberg","https://commons.wikimedia.org/wiki/File:Eurasian_blue_tit_Lancashire.jpg","https://upload.wikimedia.org/wikipedia/commons/8/86/Eurasian_blue_tit_Lancashire.jpg","<a href=""//commons.wikimedia.org/wiki/User:Baresi_franco"" title=""User:Baresi franco"">Francis Franklin</a>","Francis Franklin","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","55","50"
"Great Tit",,"Parus major","1","45953","https://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/Kjoettmeis sang03-10.mp3","https://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC45953-med.png","https://creativecommons.org/licenses/by-nc-nd/2.5/","BY-NC-ND 2.5","Stein Ø. Nilsen","https://commons.wikimedia.org/wiki/File:Parus_major_Luc_Viatour.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d2/Parus_major_Luc_Viatour.jpg","<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/12346105@N04"">Luc Viatour</a> from Bruxelles, Belgique","Luc Viatour","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0","50","50"
"Swallow","Barn Swallow","Hirundo rustica","1","36375","https://www.xeno-canto.org/sounds/uploaded/UVCHPWXJBN/XC_HIRRUS1.mp3","https://www.xeno-canto.org/sounds/uploaded/UVCHPWXJBN/ffts/XC36375-med.png","https://creativecommons.org/licenses/by-nc-nd/2.5/","BY-NC-ND 2.5","Tomas Belka","https://commons.wikimedia.org/wiki/File:HirundoRusticaFlight.jpg","https://upload.wikimedia.org/wikipedia/commons/5/50/HirundoRusticaFlight.jpg","No machine-readable author provided. <a href=""//commons.wikimedia.org/wiki/User:Thermos"" title=""User:Thermos"">Thermos</a> assumed (based on copyright claims).","Thermos","CC BY-SA 2.5","https://creativecommons.org/licenses/by-sa/2.5","50","50"
"House Martin","Common House Martin","Delichon urbicum","1","27279","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/HussvalaHammarsudde.mp3","https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/XC27279-med.png","https://creativecommons.org/licenses/by-nc-sa/3.0/","BY-NC-SA 3.0","Patrik Åberg","https://commons.wikimedia.org/wiki/File:House_Martin_-_Delichon_urbicum_-_B%C3%A6jasvala.jpg","https://upload.wikimedia.org/wikipedia/commons/6/60/House_Martin_-_Delichon_urbicum_-_B%C3%A6jasvala.jpg","<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/29174969@N00"">Ómar Runólfsson</a>","Ómar Runólfsson","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","45","50"
