"common_name","international_common_name","scientific_name","level","xeno_id","image_info_url"
"Swift","Common Swift","Apus apus",1,27236,"https://commons.wikimedia.org/wiki/File:Apus_apus_-Barcelona,_Spain-8_(1).jpg"
"Great Spotted Woodpecker",,"Dendrocopos major",1,28028,"https://commons.wikimedia.org/wiki/File:Greater_Spotted_Woodpecker_(41554059345).jpg#mw-jump-to-license"
"Green Woodpecker","European Green Woodpecker","Picus viridis",1,55183,"https://commons.wikimedia.org/wiki/File:European_green_woodpecker_(Picus_viridis)_female_Barnes.jpg#mw-jump-to-license"
"Jay","Eurasian Jay","Garrulus glandarius",1,25647,"https://commons.wikimedia.org/wiki/File:Eurasian_jay_YerevanBotanic2020.jpg#mw-jump-to-license"
"Coal Tit",,"Periparus ater",1,24884,"https://commons.m.wikimedia.org/wiki/File:Periparus_ater_(41076978671).jpg"
"Marsh Tit",,"Poecile palustris",1,27291,"https://commons.wikimedia.org/wiki/File:Sumpfmeise1.jpg#mw-jump-to-license"
"Blue Tit","Eurasian Blue Tit","Cyanistes caeruleus",1,28208,"https://commons.wikimedia.org/wiki/File:Eurasian_blue_tit_Lancashire.jpg#mw-jump-to-license"
"Great Tit",,"Parus major",1,45953,"https://commons.wikimedia.org/wiki/File:Parus_major_Luc_Viatour.jpg#mw-jump-to-license"
"Swallow","Barn Swallow","Hirundo rustica",1,36375,"https://commons.wikimedia.org/wiki/File:HirundoRusticaFlight.jpg"
"House Martin","Common House Martin","Delichon urbicum",1,27279,"https://commons.wikimedia.org/wiki/File:House_Martin_-_Delichon_urbicum_-_B%C3%A6jasvala.jpg"
"Long-tailed Tit",,"Aegithalos caudatus",1,287800,"https://commons.wikimedia.org/wiki/File:Long_tailed_Tit_on_a_washing_line_-_geograph.org.uk_-_1714032.jpg#mw-jump-to-license"
"Goldcrest",,"Regulus regulus",1,42341,"https://commons.wikimedia.org/wiki/File:Goldcrest_1.jpg#mw-jump-to-license"
"Wren","Eurasian Wren","Troglodytes troglodytes",1,27114,"https://commons.wikimedia.org/wiki/File:Eurasian_Wren_Troglodytes_troglodytes_neglectus,_Gilgit_(19738387572).jpg"
"Nuthatch","Eurasian Nuthatch","Sitta europaea",1,35043,"https://commons.wikimedia.org/wiki/File:Sitta_europaea_-Europe-8.jpg"
"Treecreeper","Eurasian Treecreeper","Certhia familiaris",1,72675,"https://commons.wikimedia.org/wiki/File:Certhia_familiaris_01.jpg#mw-jump-to-license"
"Starling","Common Starling","Sturnus vulgaris",1,27154,"https://commons.wikimedia.org/wiki/File:Toulouse_-_Sturnus_vulgaris_-_2012-02-26_-_2.jpg"
"Blackbird","Common Blackbird","Turdus merula",1,25554,"https://commons.wikimedia.org/wiki/File:Common_Blackbird.jpg#mw-jump-to-license"
"Fieldfare",,"Turdus pilaris",1,25765,"https://commons.wikimedia.org/wiki/File:Turdus_pilaris_no.JPG#mw-jump-to-license"
"Redwing",,"Turdus iliacus",1,42438,"https://commons.wikimedia.org/wiki/File:Redwing_Turdus_iliacus.jpg#mw-jump-to-license"
"Song Thrush",,"Turdus philomelos",1,26981,"https://commons.wikimedia.org/wiki/File:Turdus_philomelos_-_Western_Springs_Lakeside_Park.jpg#mw-jump-to-license"
"Mistle Thrush",,"Turdus viscivorus",1,26978,"https://commons.wikimedia.org/wiki/File:Turdus_viscivorus_in_Baikonur-town_001.jpg#mw-jump-to-license"
"Robin","European Robin","Erithacus rubecula",1,27554,"https://commons.wikimedia.org/wiki/File:Erithacus_rubecula_with_cocked_head.jpg#mw-jump-to-license"
"House Sparrow",,"Passer domesticus",1,44727,"https://commons.wikimedia.org/wiki/File:House_Sparrow(Passer_domesticus).jpg"
"Dunnock",,"Prunella modularis",1,27116,"https://commons.wikimedia.org/wiki/File:Prunella_modularis-crop.jpg"
"Chaffinch","Common Chaffinch","Fringilla coelebs",1,27602,"https://commons.wikimedia.org/wiki/File:Fringilla_coelebs_on_branch.jpg"
"Brambling",,"Fringilla montifringilla",1,177657,"https://commons.wikimedia.org/wiki/File:Fringilla_montifringilla_-Poland_-male-8.jpg#mw-jump-to-license"
"Bullfinch","Eurasian Bullfinch","Pyrrhula pyrrhula",1,25564,"https://commons.wikimedia.org/wiki/File:Bullfinch_male.jpg#mw-jump-to-license"
"Greenfinch","European Greenfinch","Chloris chloris",1,35048,"https://commons.wikimedia.org/wiki/File:Chloris_chloris_(profile).jpg"
"Goldfinch","European Goldfinch","Carduelis carduelis",1,34678,"https://commons.wikimedia.org/wiki/File:Carduelis_carduelis_close_up.jpg#mw-jump-to-license"
"Siskin","Eurasian Siskin","Spinus spinus",1,35044,"https://commons.wikimedia.org/wiki/File:Carduelis_spinus_male.jpg#mw-jump-to-license"
