level,xeno_id,common_name,international_common_name,scientific_name
1,27236,Swift,Common Swift,Apus apus
1,28028,Great Spotted Woodpecker,,Dendrocopos major
1,55183,Green Woodpecker,European Green Woodpecker,Picus viridis
1,25647,Jay,Eurasian Jay,Garrulus glandarius
1,24884,Coal Tit,,Periparus ater
1,27291,Marsh Tit,,Poecile palustris
1,28208,Blue Tit,Eurasian Blue Tit,Cyanistes caeruleus
1,45953,Great Tit,,Parus major
1,36375,Swallow,Barn Swallow,Hirundo rustica
1,27279,House Martin,Common House Martin,Delichon urbicum
1,287800,Long-tailed Tit,,Aegithalos caudatus
1,42341,Goldcrest,,Regulus regulus
1,27114,Wren,Eurasian Wren,Troglodytes troglodytes
1,35043,Nuthatch,Eurasian Nuthatch,Sitta europaea
1,72675,Treecreeper,Eurasian Treecreeper,Certhia familiaris
1,27154,Starling,Common Starling,Sturnus vulgaris
1,25554,Blackbird,Common Blackbird,Turdus merula
1,25765,Fieldfare,,Turdus pilaris
1,42438,Redwing,,Turdus iliacus
1,26981,Song Thrush,,Turdus philomelos
1,26978,Mistle Thrush,,Turdus viscivorus
1,27554,Robin,European Robin,Erithacus rubecula
1,44727,House Sparrow,,Passer domesticus
1,27116,Dunnock,,Prunella modularis
1,27602,Chaffinch,Common Chaffinch,Fringilla coelebs
1,177657,Brambling,,Fringilla montifringilla
1,25564,Bullfinch,Eurasian Bullfinch,Pyrrhula pyrrhula
1,35048,Greenfinch,European Greenfinch,Chloris chloris
1,34678,Goldfinch,European Goldfinch,Carduelis carduelis
1,35044,Siskin,Eurasian Siskin,Spinus spinus
